Linux frea03.rutgers.edu 2.6.32-71.el6.i686 #1 SMP Tue Nov 23 06:43:11 CST 2010 i686 i686 i386 GNU/Linux
Linux frea05.rutgers.edu 2.6.32-71.el6.i686 #1 SMP Tue Nov 23 06:43:11 CST 2010 i686 i686 i386 GNU/Linux
Clock tick is 1.000e-06

trial,msglen,compsize
047,004,00060
047,005,00058
047,006,00056
047,007,00056
047,008,00054
047,009,00056

trial,msglen,compsize
048,0000027,000

trial,iter,ticks
048,001,00058
048,002,00060
048,003,00056
048,004,00057
048,005,00525
048,006,00050
048,007,00126
048,008,00139
048,009,00127

trial,msglen,compsize
049,0000029,000

trial,iter,ticks
049,001,00123
049,002,00097
049,003,00073
049,004,00063
049,005,00059
049,006,00058
049,007,00058
049,008,00060
049,009,00057

trial,msglen,compsize
050,0000031,000

trial,iter,ticks
050,001,00046
050,002,00059
050,003,00056
050,004,00056
050,005,00070
050,006,00061
050,007,00057
050,008,00056
050,009,00056

trial,msglen,compsize
051,0000034,000

trial,iter,ticks
051,001,00046
051,002,00062
051,003,00061
051,004,00054
051,005,00055
051,006,00054
051,007,00529
051,008,00049
051,009,00127

trial,msglen,compsize
052,0000036,000

trial,iter,ticks
052,001,00093
052,002,00074
052,003,00054
052,004,00060
052,005,00057
052,006,00058
052,007,00055
052,008,00053
052,009,00054

trial,msglen,compsize
053,0000039,000

trial,iter,ticks
053,001,00045
053,002,00058
053,003,00056
053,004,00047
053,005,00082
053,006,00067
053,007,00061
053,008,00058
053,009,00056

trial,msglen,compsize
054,0000042,000

trial,iter,ticks
054,001,00058
054,002,00057
054,003,00056
054,004,00056
054,005,00055
054,006,00055
054,007,00058
054,008,00530
054,009,00084

trial,msglen,compsize
055,0000045,000

trial,iter,ticks
055,001,00123
055,002,00050
055,003,00059
055,004,00057
055,005,00096
055,006,00063
055,007,00059
055,008,00056
055,009,00057

trial,msglen,compsize
056,0000048,000

trial,iter,ticks
056,001,00047
056,002,00048
056,003,00056
056,004,00058
056,005,00056
056,006,00054
056,007,00082
056,008,00070
056,009,00070

trial,msglen,compsize
057,0000051,000

trial,iter,ticks
057,001,00043
057,002,00060
057,003,00058
057,004,00056
057,005,00056
057,006,00056
057,007,00056
057,008,00056
057,009,00055

trial,msglen,compsize
058,0000055,000

trial,iter,ticks
058,001,00163
058,002,00127
058,003,00162
058,004,00061
058,005,00063
058,006,00061
058,007,00061
058,008,00057
058,009,00056

trial,msglen,compsize
059,0000059,000

trial,iter,ticks
059,001,00061
059,002,00057
059,003,00057
059,004,00056
059,005,00084
059,006,00046
059,007,00060
059,008,00057
059,009,00056

trial,msglen,compsize
060,0000063,000

trial,iter,ticks
060,001,00043
060,002,00069
060,003,00041
060,004,00066
060,005,00042
060,006,00058
060,007,00053
060,008,00128
060,009,00126

trial,msglen,compsize
061,0000068,000

trial,iter,ticks
061,001,00097
061,002,00056
061,003,00061
061,004,00056
061,005,00061
061,006,00058
061,007,00056
061,008,00056
061,009,00056

trial,msglen,compsize
062,0000073,000

trial,iter,ticks
062,001,00079
062,002,00066
062,003,00060
062,004,00059
062,005,00056
062,006,00056
062,007,00056
062,008,00057
062,009,00056

trial,msglen,compsize
063,0000078,000

trial,iter,ticks
063,001,00046
063,002,00051
063,003,00542
063,004,00085
063,005,00128
063,006,00122
063,007,00126
063,008,00123
063,009,00124

trial,msglen,compsize
064,0000084,000

trial,iter,ticks
064,001,00093
064,002,00074
064,003,00061
064,004,00060
064,005,00058
064,006,00057
064,007,00058
064,008,00055
064,009,00062

trial,msglen,compsize
065,0000090,000

trial,iter,ticks
065,001,00053
065,002,00072
065,003,00045
065,004,00057
065,005,00056
065,006,00054
065,007,00055
065,008,00056
065,009,00065

trial,msglen,compsize
066,0000097,000

trial,iter,ticks
066,001,00094
066,002,00557
066,003,00051
066,004,00127
066,005,00134
066,006,00128
066,007,00156
066,008,00128
066,009,00161

trial,msglen,compsize
067,0000103,000

trial,iter,ticks
067,001,00149
067,002,00056
067,003,00064
067,004,00061
067,005,00059
067,006,00059
067,007,00058
067,008,00058
067,009,00059

trial,msglen,compsize
068,0000111,000

trial,iter,ticks
068,001,00098
068,002,00062
068,003,00060
068,004,00061
068,005,00058
068,006,00057
068,007,00056
068,008,00058
068,009,00059

trial,msglen,compsize
069,0000119,000

trial,iter,ticks
069,001,00046
069,002,00066
069,003,00549
069,004,00050
069,005,00127
069,006,00156
069,007,00126
069,008,00171
069,009,00124

trial,msglen,compsize
070,0000127,000

trial,iter,ticks
070,001,00124
070,002,00075
070,003,00066
070,004,00060
070,005,00090
070,006,00051
070,007,00066
070,008,00064
070,009,00061

trial,msglen,compsize
071,0000137,000

trial,iter,ticks
071,001,00047
071,002,00069
071,003,00042
071,004,00061
071,005,00060
071,006,00060
071,007,00085
